"","IN","TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
"920",4439,NA,5.5,0.48,0.28,61.4,-0.166,31,126,1.02659,2.46,-1.19,16.2,1,7,4
"921",4449,NA,7.1,0.44,0.27,28.4,0.007,252,223,0.99257,3.78,0.36,16.8,0,8,2
"922",4456,NA,20.7,1.11,0.74,12.5,0.037,37,-51,1.01617,3.04,0.97,14.5,0,8,2
"923",4463,NA,9.5,0.13,-1.19,5.4,-0.219,15,118,0.9954,3.27,0.34,9.6,1,9,4
"924",4467,NA,16.3,0.26,-1.5,-61.1,0.041,258,123.410478288232,0.98978,2.22,2.18,10.5836317460295,-1,8,1
"925",4468,NA,5.1,0.06,-2.41,11.6,0.243,40,78,1.02412,4.04,0.64,2.5,0,6,0
"926",4469,NA,7.5,0.33,0.36,2.6,0.25,-16,45,0.99097,3.32,0.53,12.7,0,8,1
"927",4472,NA,6.9,-1.15,-1.05,-46.5,0.042,36,450,0.94333,2.14,0.69,2.8,0,7,2
"928",4473,NA,5.7,1.54,-0.97,6.3,0.043,28,113,0.9936,3.06,2.02,6.3,0,6,3
"929",4476,NA,6.5,0.47,0.41,72.3,-0.007,200,-290,1.04822,5,0.72,8.3,0,7,1
"930",4500,NA,6,-2.44,-0.86,3.6,0.083,36,133,0.94806,3.27,1.19,10.8,-1,7,1
"931",4509,NA,3,-1.19,0.3,5.31913482791285,-0.529,247,105,0.98963,2.78,0.58,12.75,0,6,2
"932",4513,NA,7.7,0.27,1.3,5.31913482791285,-0.549,341,179,1.01141,3.48,0.53459173553719,8.9,-1,9,1
"933",4521,NA,0.8,2.035,-0.41,-88.3,0.045,-11,-36,1.00563,4.31,0.54,15.8,0,7,0
"934",4527,NA,16.7,0.23,0.29,2.6,-0.135,-173,98,1.02264,1.85,3.55,16.8,0,8,1
"935",4530,NA,8,1.12,-0.65,-54.1,-0.53,257,-194,0.99002,2.35,0.45,12.4,-2,9,1
"936",4532,NA,0.5,2.02,0.74,38.7,-0.633,61,182,0.9953,2.97,1.73,10.5,1,8,1
"937",4533,NA,0.5,0.2,0.34,-62.8,0.049,-118,-9,0.9922,2.07,1.88,7.2,-1,8,2
"938",4535,NA,9.8,0.14,0.81,-53.4,-0.21,75,189,0.98962,3.23651810584958,-2.8,4.7,-1,7,1
"939",4536,NA,11.3,0.36,0.9,2.4,0.123,-272,-335,1.02078,3.23651810584958,-2.18,14,1,12,3
"940",4542,NA,20.8,0.34,0.44,-1.8,-0.664,47,126,0.99124,2.96,0.37,18.8,0,9,2
"941",4551,NA,6.2,0.21,0.26,9.25,0.539,-455,311,0.9945,3.05,0.37,11.4,0,9,1
"942",4554,NA,8.6,0.22,1.01,12.05,0.058,18,125,1.01076,4.3,-0.35,9.4,0,7,2
"943",4555,NA,7.1,-0.5,0.67,2,0.598,152,128,0.9917,3.19,-1.21,15.8,-2,8,1
"944",4564,NA,1.9,2.765,-1.29,-2,0.502,6,172,0.99113,3.4,0.59,17,0,8,0
"945",4572,NA,7,2.09,0.08,-12.8,-0.249,10,123.410478288232,0.96855,2.52,0.47,10,-1,8,1
"946",4573,NA,26.3,0.31,-1.33,-62.3,0.545,-60,182,0.99795,2.95,0.39,13.4,2,9,4
"947",4577,NA,6.9,0.34,-0.92,-54.8,-0.32,19,149,0.9925,3.54,1.88,10.8,-1,7,0
"948",4579,NA,15.2,0.64,1.11,-28.3,0.44,57,123.410478288232,0.94485,3.16,1.76,11.3,1,5,3
"949",4583,NA,8.1,0.2,0.28,23.5,0.0614253988113857,-180,31,0.99062,3.25,0.36,5.7,0,9,2
"950",4584,NA,6.3,0.23,0.87,26.8,0.427,-105,482,1.03666,4.36,1.95,11.4,1,7,4
"951",4596,NA,-4.5,0.325,0.49,60.9,0.049,53,217,0.996,3.16,0.4,10.5836317460295,-1,7,2
"952",4599,NA,5.7,0.1,0.34,26.3,0.135,251,100,0.99689,3.27,0.46,9.5,0,6,2
"953",4607,NA,6.2,0.35,-1.24,18.1,0.069,33,158,0.96028,4.34,0.5,8.8,0,7,2
"954",4609,NA,11.7,1.2,1.74,-21.7,0.09,20,47,0.99734,3.34,0.64,12.8,-1,12,0
"955",4610,NA,7.2,0.16,0.74,12.5,-0.268,47,161,0.9981,3.04,0.44,8.7,0,8,0
"956",4616,NA,13.3,-1.17,-0.29,18.15,0.785,41,91,0.89928,3.3,0.76,8.7,-2,7,1
"957",4617,NA,17.6,0.425,1.49,13.1,-0.459,-163,241,1.04149,3.88,-0.16,2.9,0,7,1
"958",4633,NA,0.2,1.54,1.25,12.4,0.114,234,155,0.90324,3.33,0.48,13.7,0,7,3
"959",4638,NA,7.8,0.25,0.41,3.7,0.042,-89,371,0.9954,3.36,0.53459173553719,8,0,8,2
"960",4641,NA,6.9,-0.62,0.89,70.35,0.003,257,189,0.99784,2.8,0.53459173553719,11.7,0,8,1
"961",4653,NA,7.3,1.1,0.42,54.4,-0.388,288,325,0.9996,3.29,1.57,10.5836317460295,2,8,4
"962",4655,NA,6.7,1.05,0.39,70.1,-0.023,64,40,0.99562,3.89,0.38,9.4,0,7,3
"963",4659,NA,7.9,-0.66,-1.52,2.3,0.474,63,86,0.92984,3.53,0.57,14.9,1,8,0
"964",4669,NA,15.5,-0.25,0.56,2,0.056,20,124,0.9948,3.6,0.49,4,-1,8,0
"965",4678,NA,7,0.69,0.07,19,0.091,15,-125,0.99572,3.38,-1.1,4.9,0,8,0
"966",4685,NA,7,0.6,-1.12,-27.8,0.447,28,160,0.9954,2.49,0.46,9.8,1,8,2
"967",4686,NA,8.2,0.23,-2.78,1.3,0.0614253988113857,267,-220,0.99141,2.99,0.36,9,0,9,2
"968",4691,NA,30.4,0.2,0.37,16.95,0.048,-220,190,0.9995,3.7,0.42,6.7,-1,8,0
"969",4695,NA,-1.4,0.4,1.73,5.31913482791285,-0.224,47,140,0.94199,4.53,0.51,10.2,1,7,2
"970",4698,NA,7.3,0.19,-0.38,124.8,0.057,617,51,0.99807,2.94,-1.63,6.7,0,8,2
"971",4700,NA,5.7,1.25,0.28,4.7,0.027,-221,-71,0.98948,3.33,0.45,12.5,0,6,4
"972",4711,NA,5.5,-0.2,0.09,40.5,0.15,18,370,1.00358,4.2,0.51,5,-1,6,2
"973",4722,NA,-0.9,0.22,0.44,61.7,0.0614253988113857,-105,422,0.94593,3.45,1.46,6,0,8,3
"974",4727,NA,6.4,-0.13,1.15,-45.3,-0.59,31,-113,1.03165,3.54,0.51,10.3,-1,7,3
"975",4756,NA,6.5,0.33,-0.49,-27.9,0.036,110,88,1.01111,3.25,0.69,15,1,7,4
"976",4762,NA,7.1,-0.16,0.38,-29.3,0.043,34,337,1.01429,3.23,0.38,8.5,0,10,0
"977",4763,NA,27.1,3.18,0.78,6.4,0.094,34.9470625196356,200,0.99805,3.19,-0.61,11.2,-1,7,2
"978",4766,NA,8.2,0.79,0.51,-37.7,0.073,16,47,0.99594,3.4,1.61,11.3,0,9,4
"979",4770,NA,0.4,1.93,1.03,1.9,-0.509,86,38,0.99518,2.91,0.85,9.8,0,9,0
"980",4784,NA,6.1,-0.89,0.24,1.5,0.511,38,124,1.00477,3.94,0.42,12.4,-1,7,3
"981",4791,NA,7.7,-1.04,0.3,24.4,0.407,25,-197,0.9951,2.97,0.47,10.9,1,8,1
"982",4795,NA,6.5,1.08,0.24,-8.35,-0.112,25,131,0.99565,1.96,0.51,8.4,1,7,3
"983",4799,NA,7.2,0.21,-1.24,14.5,-0.275,306,311,0.9982,3.05,-0.22,8.9,-1,8,0
"984",4802,NA,-2.6,0.23,0.29,1.6,0.043,24,415,1.03506,3.12,0.9,10.4,0,8,3
"985",4805,NA,6.8,0.52,0.74,68,0.088,23,185,0.9928,4.39,-0.39,12.2,0,8,2
"986",4814,NA,6.2,1.4,0.61,1,0.031,22,349,1.01801,3.24,-0.27,17.3,1,7,2
"987",4816,NA,8,0.67,-2.17,5.31913482791285,0.1,5,369,1.01598,3.37,-0.91,13.8,0,9,0
"988",4817,NA,6.9,0.07,0.38,8.1,-0.143,44,295,0.9958,3.26,0.49,9.8,0,7,2
"989",4822,NA,-0.4,0.235,1.84,11.75,0.03,-198,118,1.02852,3.04,0.9,9.4,0,6,1
"990",4827,NA,6.8,0.14,0.35,1.5,0.24,233,-159,0.99111,1.93,-0.06,6.6,-1,7,1
"991",4833,NA,6.3,0.25,0.3,-22.4,-0.014,-138,122,0.994,3.23651810584958,0.61,-0.2,0,8,4
"992",4836,NA,10.6,0.705,0.72,35.3,0.417,-10,-287,0.9964,3,1.59,9.5,1,8,0
"993",4842,NA,-2.6,0.12,1.21,0.1,0.398,27,123.410478288232,1.04149,3.29,0.41,13.5,0,7,1
"994",4844,NA,7,0.13,-0.78,5.31913482791285,0.056,34.9470625196356,319,1.00696,4.73,-0.68,4.2,0,7,1
"995",4845,NA,1.2,0.7,0.29,5,0.028,-145,461,0.99076,2.39,0.88,15.3,-1,6,1
"996",4849,NA,7.6,-0.91,-0.76,-48.8,0.04,545,-322,0.9916,3.16,1.15,4.3,0,8,3
"997",4850,NA,6.5,0.93,0.33,29.3,0.042,50,-58,0.99695,2.48,-0.75,10.4,0,7,0
"998",4860,NA,6.5,0.18,-0.7,-3.5,-0.462,43,-17,1.02824,3.32,0.59,17.8,0,7,3
"999",4863,NA,8.9,0.57,0.26,-55.8,-0.081,-55,89,0.9959,2.27,-0.37,10.5836317460295,0,9,1
"1000",4871,NA,6.2,-0.74,0.29,-17.3,0.047,45,220,0.96967,3.35,2.22,10,0,7,2
"1001",4878,NA,7.8,0.645,1.41,5.5,0.086,6,30,0.98083,2.54,0.94,7,0,8,2
"1002",4881,NA,-2.6,0.69,0.98,40.4,0.629,29,142,1.00886,4.19,0.33,-2.1,0,7,1
"1003",4888,NA,14.9,-0.16,1.53,-49.4,-0.514,-261,123.410478288232,0.9944,3.17,0.33,10.2,2,8,1
"1004",4900,NA,8.6,0.23,-0.03,19.7,0.302,17,48,1.04258,4.43,0.53,9.7,2,9,4
"1005",4906,NA,-2.2,0.3,-0.95,-48.5,-1.065,49,159,0.97125,3.11,0.48,4.2,1,7,1
"1006",4909,NA,13.1,0.2,0.24,66.8,-0.07,34.9470625196356,-78,1.00907,4,0.33,11,1,7,0
"1007",4916,NA,1.4,0.2,0.32,1.6,0.11,174,-578,1.01384,3.37,-0.58,13.2,1,8,2
"1008",4918,NA,7.9,1.29,1.85,-45.25,0.033,-231,100,0.99117,0.96,0.52,7.7,1,9,4
"1009",4926,NA,6.9,0.23,1.48,15.5,0.001,34.9470625196356,146,0.9944,2.94,-0.66,9.7,0,7,1
"1010",4928,NA,0.8,0.66,1.86,-34.5,0.0614253988113857,-443,-242,0.99455,3.38,1.8,1.3,-1,7,1
"1011",4941,NA,8.7,0.23,3.35,13.4,0.044,35,-111,0.99975,3.34,0.47,8.8,0,9,1
"1012",4946,NA,10.5,-1.04,0.49,-54.7,0.115,297,118,0.98346,3.34,1.3,13.1,0,6,3
"1013",4949,NA,6.8,0.26,1.4,18,-0.032,38,64,0.9939,3.42,1.2,10,0,7,0
"1014",4956,NA,0.7,-0.09,-0.61,1.8,0.055,-87,110,0.9796,2.12,0.44,6.2,0,8,1
"1015",4966,NA,7.4,0.27,1.08,27.4,0.415,25,324,1.00513,2.97,0.51,11.9,0,8,3
"1016",4969,NA,9.9,-0.47,0.37,7.9,0.025,110,-207,1.03211,2.93,0.37,19.4,0,9,1
"1017",4973,NA,6.3,0.34,-2.77,6.2,-0.208,81,227,0.95046,3.29,0.44,9.9,0,7,2
"1018",4978,NA,-0.5,0.81,0.36,67.2,0.909,262,124,0.997,1.58,0.59,13.7,1,8,3
"1019",4982,NA,5.4,0.37,0.76,4.2,-0.1,243,368,1.0004,2.19,-0.36,11.8,0,13,2
"1020",4985,NA,13.7,0.26,-1.37,18.7,0.034,39,134,0.9949,3.33,0.03,7.3,1,7,2
"1021",4991,NA,-4.7,0.305,0.9,1.75,0.173,17,-723,1.00612,2.22,1.63,17.23333333,1,6,1
"1022",4998,NA,4.7,1.34,0.36,14.6,0.048,35,-419,0.9968,3.14,1.55,17.1,0,8,2
"1023",5000,NA,6.8,0.11,-1.12,57.9,0.315,252,104,0.99454,3.2,0.37,11.3,-1,7,1
"1024",5004,NA,9,-0.29,1.05,2.1,0.513,19,76,0.99001,2.62,0.53459173553719,12.1,0,10,2
"1025",5005,NA,12.8,0.26,1.53,13.3,0.044,68,224,0.97179,3.18,3.89,9.5,-1,8,1
"1026",5011,NA,7.3,0.38,0.23,5.31913482791285,-0.251,18,149,0.99304,3.1,0.67,11.2,1,8,2
"1027",5016,NA,6.6,-0.74,0.65,2.6,0.087,13,-252,1.00913,4.18,0.65,11,0,13,0
"1028",5018,NA,8.7,1.33,0.34,45.8,0.018,-91,372,0.99474,3.12,-1.95,-2.1,-1,9,3
"1029",5034,NA,5.7,-0.91,-1.04,94.1,0.106,-194,155,0.9927,2,-0.18,16,0,7,2
"1030",5038,NA,6.6,0.19,0.39,62,-0.189,177,63,0.99171,3.16,0.38,10.5,0,8,0
"1031",5042,NA,21.3,1.335,0.06,49,0.403,9,123.410478288232,1.0217,3.03,-1.25,10.2,2,6,3
"1032",5046,NA,11.1,0.18,-1.82,9.8,0.039,29,113,1.01384,3.11,0.45,10.9,0,7,1
"1033",5051,NA,18.7,0.31,0.51,2.2,-0.245,-90,123.410478288232,1.04545,2.19,0.93,9.8,0,12,0
"1034",5054,NA,7,0.77,0.32,-116,-0.27,41,-210,1.00696,2.81,0.53459173553719,12.9,0,7,0
"1035",5057,NA,15,0.51,0.2,64.9,0.034,218,117,1.00473,3.62,0.43,10.1,0,7,3
"1036",5062,NA,6.8,-0.92,-1.04,2.8,0.414,40,122,1.05133,3.06,2.91,10.5836317460295,0,7,2
"1037",5063,NA,7.3,0.69,1.32,-19.5,0.0614253988113857,35,104,1.02626,4,0.51,9.2,1,8,2
"1038",5065,NA,6,0.81,1.1,1.6,0.397,34.9470625196356,123.410478288232,0.95206,3.62,0.32,10.7,0,6,1
"1039",5066,NA,6.5,0.31,-0.54,3.5,0.046,22,147,0.99024,3.15,0.31,6.2,-1,7,0
"1040",5076,NA,0.5,-0.12,0.42,2.8,-0.375,84,137,0.9908,3.27,0.43,11.8,-1,7,1
"1041",5089,NA,-5.1,0.31,0.4,6.2,0.04,-68,208,0.9953,2.92,0.1,6.6,-1,7,2
"1042",5092,NA,6.9,0.3,1.85,10.5,0.637,24,189,0.99362,3.29,0.54,9.9,-2,7,2
"1043",5093,NA,6.5,0.29,0.52,-44,0.213,35,192,0.99551,3.16,0.51,13.5,0,7,3
"1044",5094,NA,18.4,-0.86,1.5,-56.45,0.034,-230,293,0.96214,3.91,0.31,10.8,0,9,3
"1045",5098,NA,18.5,1.13,0.86,2.6,-0.503,33,-1,1.03607,4.15,-0.56,2.2,0,7,2
"1046",5102,NA,14.5,0.17,0.15,35,0.029,242,128,1.03021,3.37,-0.64,10.7,-2,8,3
"1047",5112,NA,7.8,0.15,0.92,1.4,0.056,21,-705,0.9692,2.49,0.53,10.4,1,8,3
"1048",5117,NA,9.6,-0.36,0.38,5.31913482791285,0.061,212,33,0.98096,3.73,0.58,17.8,0,9,1
"1049",5127,NA,8.1,1.63,1.46,45.3,0.596,34.9470625196356,364,0.997,3.85,2.54,9.8,0,9,2
"1050",5130,NA,-4.6,0.24,-0.32,5.31913482791285,0.036,286,351,0.99097,2.71,0.44,5.25,-1,7,1
"1051",5131,NA,4.1,0.68,1.51,2.2,0.095,21,471,1.04291,3.25,1.69,9.2,-1,9,1
"1052",5132,NA,2.3,0.23,-2.21,-48.1,-0.351,-210,186,0.9991,3.22,0.53459173553719,4.2,0,8,2
"1053",5135,NA,-3.7,-0.61,1.42,-8.2,0.038,15,-165,0.96021,4.11,0.75,6.6,0,7,0
"1054",5136,NA,4.3,-0.71,1.5,0.5,0.036,34,123.410478288232,0.99519,1.93,0.39,5.7,0,8,1
"1055",5147,NA,5.7,0.77,0.14,6.3,-0.471,35,182,1.03872,3.11,-1.08,9.25,1,6,2
"1056",5157,NA,-7.1,-0.06,0.42,5.31913482791285,0.044,-66,196,0.99562,3.98,0.48,7.1,0,7,2
"1057",5160,NA,6.8,1.15,-0.12,-125.2,-0.201,13,74,0.9958,4.2,0,10.5836317460295,-1,8,1
"1058",5165,NA,6.4,1.57,0.2,6.6,0.054,10,94,1.00156,2.43,0.69,14.8,-1,8,0
"1059",5166,NA,7.3,-0.03,0.31,-57.7,0.04,39,302,1.03273,3.19,0.51,11.4,0,8,0
"1060",5172,NA,6.6,-0.19,2.56,10.6,0.17,151,201,1.09428,2.96,0.38,10.5836317460295,-1,7,1
"1061",5173,NA,13.5,0.28,0.35,1.6,0.082,36,114,0.9668,3.56,0.5,5.5,-1,6,1
"1062",5179,NA,8.1,-0.04,0.02,1.7,0.0614253988113857,16,56,0.9968,3.9,0.03,9.3,0,9,0
"1063",5184,NA,6.8,0.32,0.28,-40.6,-0.544,-203,100,1.00208,3.08,0.47,12.4,1,7,3
"1064",5187,NA,6.9,0.56,0.26,-27.6,0.06,-213,193,0.9969,1.73,0.53459173553719,3.2,-1,8,1
"1065",5191,NA,16.6,0.19,0.17,5.1,0.034,306,531,0.9942,2.18,-0.8,16.4,0,7,1
"1066",5193,NA,3.2,0.43,1.82,-28.4,-0.617,-217,552,0.9906,5.36,0.94,12.1,-1,8,0
"1067",5194,NA,-4.2,1.69,-0.67,25.1,-0.44,-191,340,0.99412,3.15,0.49,13.7,0,7,0
"1068",5199,NA,1.3,0.25,0.39,-45.65,-1.093,34.9470625196356,155,1.00576,3.92,0.53459173553719,9,-1,8,1
"1069",5212,NA,6.9,-0.59,0.24,-23.5,0.992,-115,499,0.98986,3.26,0.58,10,0,8,0
"1070",5213,NA,6.4,-0.43,0.17,-116.8,0.593,235,161,0.99546,3.02,2.1,10.2,0,7,1
"1071",5224,NA,7.2,0.23,0.39,14.2,0.36,49,-113,1.01247,2.98,0.48,14.4,0,8,2
"1072",5226,NA,8.8,3.61,0.24,2.4,0.067,10,25,0.9969,3.19,0.59,9.5,0,10,3
"1073",5239,NA,17,0.21,-0.68,2,0.344,276,138,0.99176,3.05,0.76,14.9,1,9,3
"1074",5252,NA,6.2,-2.69,0.93,30.3,0.0614253988113857,55,204,0.99745,3.16,-0.66,9.1,1,7,2
"1075",5264,NA,7.4,0.67,0.1,64.9,-0.97,12,48,0.99888,3.23651810584958,-0.55,9.5,0,10,0
"1076",5266,NA,7.5,-0.35,-1.33,-17.2,0.0614253988113857,49,-552,0.90983,3.21,0.43,8.8,-2,6,1
"1077",5271,NA,2.2,0.47,0.31,9,-0.352,39,-10,1.01867,3.1,0.5,9.2,1,8,3
"1078",5273,NA,-4.7,0.31,1.49,-45,0.031,281,151,0.99755,3.36,0.82,12,0,7,2
"1079",5276,NA,4.4,0.32,0.39,4.3,0.38,-137,127,0.9375,3.46,0.36,12.8,-2,5,2
"1080",5278,NA,6.3,-0.29,0.81,4.7,0.04,-1,-18,0.9514,3.07,0.75,10.7,0,7,3
"1081",5281,NA,8.1,2.55,0.63,12.3,0.049,50,531,0.9971,2.57,0.57,10.2,-1,9,1
"1082",5283,NA,4.4,0.74,0.09,2,0.067,5,10,1.07201,3.97,0.57,11.8,0,9,3
"1083",5291,NA,4.5,-0.115,1.44,-30.8,-0.072,6,31,0.9986,3.23,0.56,10.1,2,10,0
"1084",5294,NA,17.4,-1.47,0.33,-34.4,0.046,31,123,0.9983,3.85,0.4,4.6,2,7,3
"1085",5296,NA,7.1,-0.28,-0.27,52.7,-0.207,46,289,0.96754,3.92,0.59,12.5,0,8,2
"1086",5297,NA,3.1,0.63,0.07,-7.3,0.09,-104,37,0.9979,3.28,0.76,13.7,0,8,0
"1087",5313,NA,6.9,1.3,-0.39,7.8,0.423,11,548,0.996,3.23,0.15,8.1,0,7,2
"1088",5314,NA,6.2,0.5,0.12,1.8,0.539,279,416,0.9512,3.28,0.87,9.8,0,8,1
"1089",5321,NA,-2.8,1.41,0.3,44.5,0.241,60,123.410478288232,1.01932,3.7,-0.25,9.3,-1,7,2
"1090",5325,NA,7.1,0.23,-1.31,3.5,0.038,344,112,0.99157,4.18,0.37,18.16666667,-1,8,2
"1091",5326,NA,4.4,2.81,0.27,60.8,0.169,63,344,0.99854,3.66,0.43,6.6,0,7,0
"1092",5328,NA,6.3,-1.04,0.37,1.5,0.024,12,76,0.98876,3.38,0.53459173553719,12.3,-1,7,3
"1093",5334,NA,6.1,0.53,1.19,-61,-0.338,24,139,0.99528,4.85,0.68,16.5,0,7,1
"1094",5338,NA,5.1,0,0.42,18.05,-0.362,-201,688,1.03881,4.23,1.19,13.8,1,8,2
"1095",5344,NA,4.5,0.62,-0.66,43.5,0.424,11,-153,0.9964,3.15,0.66,4.5,-2,9,1
"1096",5348,NA,6.8,0.57,2.12,-69,0.072,32,-210,0.9801,3.43,-0.86,10.5836317460295,-1,7,0
"1097",5352,NA,16.8,1.01,0.24,2,-0.205,19,-203,0.9917,3.72,0.74,18.7,0,6,0
"1098",5353,NA,6,0.18,1.77,24,0.317,40,-132,0.96953,1.88,0.62,10.8,0,6,2
"1099",5354,NA,9.1,0.28,0.56,1.9,0.694,52,280,1.03272,3.3,-1.55,10.5836317460295,1,9,0
"1100",5361,NA,1.7,1.52,0.58,1.9,0.071,5,18,0.998,3.09,0.53459173553719,10,-1,13,0
"1101",5364,NA,15.2,0.39,-0.64,11.1,0.327,-27,-67,0.96609,3.05,1.14,16.4,1,8,1
"1102",5365,NA,6.2,0.3,1.27,1.1,0.032,53,-37,0.91579,2.97,0.42,11.3,0,7,2
"1103",5367,NA,5.8,1.57,0.87,-45.3,0.506,195,381,0.99378,2.67,0.59,11,-2,6,0
"1104",5379,NA,5.2,0.34,0.39,1.4,0.098,3,7,1.01204,3.19,1.53,11.4,1,11,3
"1105",5382,NA,7.1,0.12,0.84,-41.7,0.276,-489,94,1.01062,4.27,0.56,17,-1,7,2
"1106",5386,NA,3.6,0.27,1.46,25.75,0.042,34,123.410478288232,1.0002,2.96,0.5,4.6,1,8,3
"1107",5395,NA,-16.3,1.34,-0.84,-26.7,-0.556,16,128,0.97468,3.34,0.58,15.9,0,6,2
"1108",5410,NA,7.7,0.27,0.34,1.8,0.42,34.9470625196356,-158,0.9911,2.99,0.48,10.5836317460295,1,8,2
"1109",5411,NA,6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.74,12.3,1,8,1
"1110",5416,NA,-3,-0.16,0.28,56.55,1.208,-132,78,1.0368,2.78,2.01,12.4,1,8,3
"1111",5424,NA,12.4,-0.3,-0.25,11,0.052,53,247,0.9984,4.53,0.26,9.3,2,7,1
"1112",5426,NA,7.5,0.88,1.33,6.5,0.626,53,501,1.06643,3.03,0.38,10.9,0,8,1
"1113",5428,NA,0,0.65,0.12,-38.9,0.303,-119,10,1.0288,4.59,0.14,13.5,0,6,0
"1114",5430,NA,6.4,-0.21,0.32,14.9,0.0614253988113857,36,162,0.96381,3.28,0.5,14.9,0,7,4
"1115",5433,NA,-1.6,0.32,-0.13,8.25,-0.288,14,441,0.96508,2.76,0.44,11.4,0,8,0
"1116",5437,NA,6.1,0.15,-0.34,40.6,0.035,-80,83,1.04184,2.69,2.06,10.5836317460295,-1,7,2
"1117",5440,NA,28.3,1.44,2.24,1.6,0.0614253988113857,12,521,0.99008,3.13,0.52,12.2,1,6,1
"1118",5442,NA,7.2,0.35,-1.18,5.6,-0.389,12,315,1.03236,2.93,2.95,4.4,1,8,3
"1119",5445,NA,7.9,-0.39,0.44,51.3,-0.191,61,230,0.99505,3.54,0.4,11.8,0,7,1
"1120",5449,NA,6.8,-0.36,0.32,-8.8,0.0614253988113857,10,316,0.98844,2.7,0.67,8.5,0,7,2
"1121",5452,NA,11.4,1.18,-1.23,-61.2,0.038,34,117,0.95734,3.36,0.59,13.9,0,7,2
"1122",5460,NA,6.1,1.06,0.69,-19.8,0.196,-167,28,1.03251,3.98,0.73,16.2,-1,8,0
"1123",5461,NA,7.1,1.93,2.02,7.1,0.284,28,426,1.02611,4.83,-0.95,5.4,-1,8,1
"1124",5465,NA,6.7,-0.52,0.13,1.4,-0.372,-96,195,0.9937,3.52,0.54,9.4,-1,7,0
"1125",5467,NA,6.8,0.98,0.35,2.3,0.042,16,85,0.94917,3.19,0.53459173553719,8.6,0,7,3
"1126",5471,NA,7.9,-0.38,1.63,-8.6,-0.7,20,72,0.98847,3.12,1.24,10.5,1,8,2
"1127",5474,NA,6.8,0.19,2.4,4.9,0.047,199,60,0.99283,5.7,0.74,11,0,7,0
"1128",5475,NA,14.8,1.51,0.66,8.5,0.036,46,579,1.02086,3.31,0.53459173553719,8.8,-1,7,2
"1129",5480,NA,15.1,-0.18,0.4,11.9,0.196,244,123.410478288232,0.94624,2.67,0.93,22,-1,8,0
"1130",5481,NA,7.4,0.3,0.3,5.2,0.053,45,163,1.03097,2.42,0.45,10.3,0,8,2
"1131",5484,NA,6.5,-0.66,0.36,-38.1,-0.323,-28,-310,0.99384,3.21,1.27,12.9,0,7,0
"1132",5494,NA,0.6,0.16,0.34,-31.9,0.029,26,90,0.96491,3.88,0.7,10.1,2,6,2
"1133",5495,NA,11,-0.01,0.5,1,0.127,63,493,0.99212,2.31,0.45,10.1,-1,7,0
"1134",5497,NA,6.5,-2.68,0.33,8.75,0.035,-28,181,0.9962,2.93,-0.27,10.7,0,8,0
"1135",5499,NA,7.1,0.26,0.29,12.4,0.044,80,240,0.96428,3.04,0.42,9.2,-1,8,2
"1136",5507,NA,6.2,-0.51,1,7.1,-0.403,-195,-201,1.03226,3.36,1.62,13.4,0,7,0
"1137",5510,NA,7.6,-0.88,1.31,-20.4,-0.523,68,143,0.9983,2.87,0.3,6,1,8,1
"1138",5515,NA,6.5,0.14,0.64,36.2,-0.322,12,291,0.9972,3.05,0.39,11.3,0,8,0
"1139",5516,NA,14.1,-1.87,0.55,8.7,0.038,49,495,1.01488,2.16,0.55,10.5836317460295,-2,8,1
"1140",5517,NA,7.5,-0.18,0.59,11.8,0.046,48,78,1.02617,2.7,1.13,5.7,-1,8,0
"1141",5524,NA,8,0.22,0.31,48.7,0.049,24,398,1.02065,3.1,-0.87,10.9,0,9,3
"1142",5530,NA,7.8,0.53,-0.25,-54.8,0.076,17,31,1.00537,3.23651810584958,-0.05,10,2,8,3
"1143",5534,NA,5.9,-0.73,-0.95,33.2,0.03,40,377,0.92014,3.37,0.46,12.1,-1,6,1
"1144",5543,NA,7.4,-0.76,0.33,2,0.486,31,101,0.9931,2.81,0.74,9.9,0,8,0
"1145",5545,NA,6.6,0.35,1.13,48.9,0.063,18,393,0.99099,3.1,3.78,9.4,0,7,1
"1146",5558,NA,-1.5,-1.52,0.33,11.8,0.057,43,127,0.99693,3.67,-0.34,10,0,8,2
"1147",5562,NA,8.2,1.395,-0.71,-37.5,0.329,26,168,0.99212,3.47,0.46,12.66666667,0,5,0
"1148",5573,NA,-0.5,0.26,-0.12,10.8,-0.443,10,-88,1.01617,3.08,-0.69,7.9,2,7,4
"1149",5581,NA,6.7,0.27,-0.17,51.7,0.176,263,106,0.99288,4.27,0.43,6.8,0,8,3
"1150",5583,NA,5.9,0.28,0.14,38.5,-0.642,-236,435,1.00608,4.55,0.44,12.8,1,6,3
"1151",5587,NA,10.3,-0.16,-2.98,58.8,-0.494,19,102,0.9894,3.23651810584958,0.41,8.2,-1,7,3
"1152",5589,NA,7.9,1.42,-0.18,39.35,-0.381,13,106,1.00582,3.24,0.07,7.75,-1,9,1
"1153",5591,NA,20.2,0.23,0.2,-43.7,0.898,-247,50,1.0015,3.15,0.06,12.6,1,11,4
