"","INDEX","TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
"2727",3455,5,-10,0.22,-1.24,26.7,0.04,22,78,1.0199,3.34,-0.57,10.7,0,7,2
"2728",3457,0,3.3,0.32,0.24,13.1,0.05,-233,204,0.998,4.2,0.65,8.8,0,8,0
"2729",3458,5,15.6,0.645,-0.05,-34.8,0.33,-92,46,1.09608,2.92,0.76,11.1,2,17,3
"2730",3459,4,2.6,-0.52,-0.04,5.41873306511208,0.086,85,-312,0.993,2.83,-0.03,9.6,1,7,2
"2731",3460,2,5.2,0.765,0.22,39.7,0.053,-259,42,1.0301,3.1,0.55,9.4,-1,10,2
"2732",3461,6,6.1,0.44,0.9,1.2,0.036,42,107,0.991,3.20762822580645,1.97,6.7,1,7,3
"2733",3462,4,8.1,0.24,-0.51,5.41873306511208,-0.571,263,105,0.96275,3.11,0.527111782477341,11.8,0,9,1
"2734",3463,0,5.7,-0.02,2.19,-28.6,-0.087,60,167,0.9989,3.31,2.17,10.1,0,6,1
"2735",3465,4,6.2,0.18,-0.02,61.95,-0.189,44,145,0.99184,3.22,0.4,5.7,0,7,3
"2736",3466,5,8.3,-0.86,0.3,2.1,0.049,145,486,0.96377,3.09,1.78,9.6,1,9,3
"2737",3467,3,23.9,0.29,1.58,69.3,0.063,66,120.714232642615,0.9973,3.4,-0.81,9,0,7,1
"2738",3468,7,8.4,0.34,0.43,2.3,0.063,170,19,0.9955,3.05,1.77,11.2,2,9,0
"2739",3469,0,9.1,1.035,1.49,24.8,0.079,236,-90,0.9976,3.3,-0.25,12.4,0,10,0
"2740",3471,3,-2.5,0.2,1.4,5.9,0.0548224891009295,39,602,0.97757,2.1,-0.61,5.9,-1,8,2
"2741",3472,4,11.2,0.27,-0.63,39.2,1.27,239,163,0.97418,3.2,1.71,9.3,1,7,2
"2742",3473,3,6,0.26,-2.42,-10.9,0.035,10,72,1.015395,3.11,-2.69,8.05,-1,7,3
"2743",3474,0,2.7,-0.05,1.64,1.3,-0.278,319,106,0.993,3.07,0.55,17.2,-1,8,0
"2744",3476,3,-11.7,0.25,-0.86,54,0.036,49,438,0.97371,2.96,1.37,10.4892362598141,0,8,2
"2745",3478,5,13.5,0.23,1.76,1.4,0.61,49,549,0.9906,3.35,0.64,12.4,-1,7,3
"2746",3479,5,-2.7,-0.53,-1.18,9.7,-0.153,160,83,0.96984,3.08,-0.18,12.9,0,7,3
"2747",3480,3,7.6,0.48,0.93,9.4,0.0548224891009295,6,194,0.99714,2.56,0.61,15.4,0,8,2
"2748",3481,5,8.5,1.35,0.31,5.9,0.03,27,223,0.95128,2.14,0.31,12.2,0,6,3
"2749",3482,4,6.4,-1.15,-0.24,8.8,0.057,36,221,0.96661,3.17,2.01,9.1,1,7,3
"2750",3483,3,5.6,0.5,2.57,2.5,0.073,87,76,1.0001,3.05,0.81,9.5,0,12,0
"2751",3484,4,16.4,0.23,-0.92,5.41873306511208,0.487,-70,91,1.01376,3.28,0.4,11.2,0,7,2
"2752",3485,0,10.6,-1.05,0.89,37,0.499,-69,18,0.9986,3.04,1.06,10.2,0,12,0
"2753",3486,3,1.8,0.14,0.25,-10.2,-0.572,95,140,1.02018,3.25,-0.46,13,-1,6,2
"2754",3487,4,-1.8,0.18,0.8,73.3,0.039,47,547,0.99678,3.28,1.9,9.2,-1,7,2
"2755",3488,0,11.1,0.12,-1.13,1.3,-0.637,111,117,0.95405,2.99,0.36,15.4,-1,9,0
"2756",3489,5,2.4,0.18,0.93,-55.2,0.058,267,140,1.00064,3.04,0.37,10.1,0,9,3
"2757",3491,0,6.5,0.19,0.49,5.2,0.04,31,466,0.995,4.28,0.68,11.9,0,7,1
"2758",3492,5,11.7,0.39,0.23,13.7,0.084,49,197,0.99364,2.6,-0.72,8.7,2,8,4
"2759",3494,0,13.3,0.45,1.38,3,0.078,19,141,1.0003,2.15,-2.39,11,1,12,0
"2760",3495,0,5.1,0.73,0.26,67,-0.191,-125,422,0.99409,3.38,0.4,11.5,0,6,1
"2761",3496,2,-4.2,1.8,0,1.3,-0.556,72,-102,1.0269,3.56,1.35,10.9,-1,6,1
"2762",3497,4,13.8,0.62,-2.76,37.7,0.049,-41,191,1.02841,4.04,-0.35,2.3,0,8,3
"2763",3498,4,10.3,1.075,0.3,55.5,0.057,30.8455712874547,105,0.97347,3.44,0.527111782477341,9.6,0,8,1
"2764",3499,2,6.5,-2.47,0.39,7.8,0.038,266,219,1.00561,5.12,-0.38,4.2,-1,7,1
"2765",3500,4,10.5,0.26,0.65,5.41873306511208,-0.354,34,155,0.99224,3.20762822580645,0.41,10.4892362598141,0,6,3
"2766",3501,5,6.9,0.23,0.15,7.5,0.04,326,-245,0.9927,3.11,0.27,5.7,1,8,2
"2767",3503,0,17.1,0.27,0.53,38.8,0.882,255,-336,0.9962,2.92,1.13,-1.6,1,10,0
"2768",3504,0,-13.9,0.19,0,-57.3,0.07,6,14,0.99593,4.41,0.64,10,1,9,0
"2769",3505,4,7,-1.25,0.77,49,-0.045,37,-188,0.99436,2.64,0.39,9.9,1,8,2
"2770",3506,0,7.9,-0.52,0.68,8.3,-0.51,37.5,557,0.99316,3.01,1.25,12.8,0,9,0
"2771",3507,4,14,-1.18,0.4,38.9,-0.008,292,549,0.89455,3.3,0.96,9.8,-1,8,2
"2772",3509,5,12.5,-0.03,1.41,5,-0.325,422,128,1.00542,2.5,0.527111782477341,6,1,7,2
"2773",3510,3,7.9,0.3,-1.17,-16.9,0.404,249,-37,0.9939,2.69,0.46,11.7,-1,8,3
"2774",3511,0,-0.5,0.17,0.32,-26.6,0.04,-190,526,0.99182,2.84,-1.05,6.3,-1,7,0
"2775",3512,1,7.4,-0.7,0.3,51.6,0.093,-58,232,1.01178,2.96,0.34,10.4,-2,8,1
"2776",3513,5,-3.6,2.225,0.53,1.9,0.064,29,38,1.0186,3.13,0.56,13.85,1,8,4
"2777",3514,2,8,-0.29,0.17,-22.3,0.04,13,60,0.9956,3.09,0.97,2.9,0,9,1
"2778",3515,4,6.5,0.885,-0.2,2.3,0.251,6,12,1.03425,3.56,-1.27,15.1,1,7,0
"2779",3518,0,-8.8,1.21,0.57,3.4,-0.248,4,10,1.09211,3.3,1.66,9.6,0,11,0
"2780",3519,5,11.9,1.32,0.75,7.1,0.027,26,-270,0.98948,3.35,0.38,11.6,0,6,4
"2781",3520,3,6.3,-0.47,-0.75,14.9,0.542,107,287,1.00808,2.04,-0.99,11.3,-1,7,1
"2782",3521,3,7.7,1.57,1.62,-2.6,-0.152,262,143,0.9566,2.44,2.24,10.8,-1,8,0
"2783",3522,4,5.4,-0.62,-1.26,8.2,-0.435,-14,-234,0.95576,3.12,-0.34,9.5,1,7,2
"2784",3523,5,6.3,0.34,-1.32,6,0.02,256,266,0.98981,3.79,0.29,14.7,0,7,2
"2785",3524,5,-3.2,1.04,-2.79,-9,0.03,31,100,1.08655,2.51,-0.31,11.1,0,9,2
"2786",3526,0,7.9,-2,-0.06,11.1,0.033,-9,208,0.95486,3.14,0.46,10.3,1,9,0
"2787",3527,5,-2.5,0.17,-2.73,1,0.147,19,429,0.99093,3.33,0.55,1.5,1,8,2
"2788",3528,4,2,0.25,1.54,-19.9,0.272,13,136,0.99366,2.29,0.527111782477341,3.4,1,9,2
"2789",3529,1,8.2,1.04,1.2,-24.7,0.434,-184,69,0.9944,3.14,1.81,10.2,-1,9,2
"2790",3530,0,16.3,1.34,0.4,-60.6,0.068,41,54,0.99754,3.38,0.86,-1.9,-1,11,0
"2791",3531,0,8.7,0.255,0.33,1.2,0.25,86,122,0.99048,3.20762822580645,0.66,11.3,-1,6,0
"2792",3533,4,7.5,0.31,0.41,2.4,-0.11,184,88,0.99492,3.5,2.71,9.3,0,8,2
"2793",3534,5,6.2,0.16,1.55,-31.8,-0.169,42,-46,0.97188,2.49,-1.04,11.1,1,7,3
"2794",3537,0,9.7,0.67,0.17,-3.7,-0.345,20,53,1.0004,3.14,0.61,11.7,0,10,1
"2795",3538,3,5.9,0.36,1.19,59.5,0.046,-11,87,0.9934,3.22,0.41,10.2,0,6,0
"2796",3539,0,8.8,0.41,0.64,35.3,0.164,-195,425,1.02328,3.54,0.527111782477341,10.5,0,10,1
"2797",3541,5,18.5,0.43,0.54,13,0.033,37,351,0.96734,3.14,0.35,5.2,1,9,2
"2798",3542,3,5.5,0.35,1.24,1.1,0.211,-236,198,0.992,3.34,0.68,9.4,-1,6,2
"2799",3543,1,6.4,0.24,1.79,3.5,0.048,5,109,0.97584,2.81,0.44,11.7,0,6,1
"2800",3544,7,5.6,0.13,0.47,15.6,-0.363,78,376,1.00126,2.98,0.527111782477341,15.1,2,6,4
"2801",3545,5,7.3,-0.22,0.37,1.8,0.032,-180,431,0.992,2.59,0.35,13.1,1,8,4
"2802",3546,0,-7.7,0.26,0.29,5.8,0.025,-186,439,0.94341,3.28,0.53,11,0,7,1
"2803",3548,4,6.4,-0.9,-1.13,2.2,0.111,33,-266,1.01012,3.21,0.47,6.8,0,7,2
"2804",3549,4,6.3,1.5,0.23,56.2,0.483,13,-195,0.9936,4.16,0.43,9.8,1,7,2
"2805",3551,1,20,0.56,1.24,49.3,-1.085,-105,-145,0.96113,3.03,1.32,16,-2,8,0
"2806",3552,3,-5.1,0.24,1.46,5.41873306511208,0.033,-13,120.714232642615,0.99045,2.97,1.94,17.8,-1,7,2
"2807",3553,5,3.3,-0.01,0.24,20.4,-0.355,234,120.714232642615,0.95212,3.15,1.07,9.6,1,7,3
"2808",3554,3,4.9,-0.385,-0.73,1.3,-0.954,70,168,0.99212,3.47,-1.06,10.466666667,0,5,2
"2809",3555,4,10.5,0.23,0.35,-10.7,0.034,159,-67,0.93966,3.75,0.4,15.9,0,7,0
"2810",3556,4,6,-0.49,0.26,-7.7,0.588,-232,93,0.9928,2.02,0.42,11,0,6,2
"2811",3558,0,4.3,0.37,0.25,27.3,0.028,24,84,1.00226,4.09,0.527111782477341,11.7,0,7,0
"2812",3559,4,6.8,0.69,1.16,69.3,0.037,57,57,0.99884,3.26,0.57,8.4,0,7,2
"2813",3560,5,13.4,0.16,1.57,0.8,0.005,50,121,1.01509,3.27,0.23,12.8,1,8,3
"2814",3561,3,5.8,-0.84,-1.14,55.9,0.071,257,-112,0.97633,3.1,0.92,11.5,-1,6,2
"2815",3565,2,14.6,0.82,0.24,45.4,-0.069,52,623,0.98459,0.94,0.49,14.8,-1,8,1
"2816",3566,4,7.4,0.49,0.27,-46.3,0.6,-431,113,0.95956,1.76,0.63,10.7,0,8,2
"2817",3567,3,7.4,-1.04,0.27,1.2,0.626,-25,97,0.99245,3.79,0.41,10.4892362598141,-1,8,2
"2818",3568,5,13.7,0.32,-1.38,12,0.134,63,120.714232642615,0.9961,3.65,2.2,9.6,1,7,1
"2819",3569,5,2.6,0.3,-0.22,13.6,0.372,30.8455712874547,168,0.9976,4.25,0.37,9.6,0,8,2
"2820",3571,4,5.8,0.3,0.34,-25.7,-0.146,25,267,0.94035,3.2,-0.1,14.9,0,6,1
"2821",3572,3,7.1,-0.29,0.3,5.41873306511208,0.053,-19,510,0.9965,2.47,2.71,3.6,0,8,0
"2822",3574,4,16.1,0.26,-0.21,5.41873306511208,-0.571,27,382,1.06188,4.33,0.49,12.6,-1,7,4
"2823",3575,0,0.3,-0.9,-1.08,-37.3,-0.454,17,120.714232642615,0.9932,1.5,0.527111782477341,17,0,5,0
"2824",3576,4,14.2,0.23,0.42,63.9,0.362,52,171,0.98487,3.46,0.26,10.4892362598141,1,7,2
"2825",3578,5,3.4,0.2,0.31,-18.2,0.101,34,116,0.94149,4.16,0.39,7.2,0,8,3
"2826",3580,3,9.8,1.31,0.49,89.9,-0.035,203,109,1.01695,3.07,-1.52,7.7,-1,8,1
"2827",3582,5,13.5,0.09,-0.52,2.7,0.046,46,-246,0.9924,2.63,0.57,10.9,1,7,4
"2828",3583,3,9,0.255,0.24,1.7,0.195,33.5,658,1.01883,3.53,-0.14,9.6,1,7,1
"2829",3584,3,5.5,0.33,1.83,-46.3,0.0548224891009295,-151,210,0.98099,3.19,2.19,4.9,0,8,3
"2830",3585,4,16.8,0.24,0.3,8.2,0.041,231,-453,1.03378,4.36,0.527111782477341,11.5,0,8,2
"2831",3586,3,7.5,0.22,0.33,91,0.069,243,-275,0.97734,3.2,0.527111782477341,11.4,-1,8,2
"2832",3588,2,6.1,-1.1,2.66,5,0.0548224891009295,-159,133,0.99373,3.02,0.65,9.4,-1,7,1
"2833",3589,4,17.8,-0.85,0.56,-53.7,0.156,49,106,0.9981,3.1,-0.77,9.2,0,7,3
"2834",3590,4,7.4,0.41,-0.3,1.8,-0.397,18,329,0.96178,3.37,-0.64,10.4,1,8,1
"2835",3591,3,6.3,0.345,1,18.2,0.106,623,536,0.978,3.42,0.43,9.6,0,10,0
"2836",3592,6,-5.1,0.1,0.41,-24,-0.028,70,76,0.98988,3.14,0.56,10.4892362598141,1,7,3
"2837",3593,2,-1.4,-0.31,0.38,8,0.042,30.8455712874547,187,1.02162,3.21,0.05,9.2,-1,7,1
"2838",3594,5,-10.9,-0.73,0.28,14.7,0.051,29,497,0.97074,3.11,-0.06,2.8,0,7,3
"2839",3595,0,7.7,0.22,2.25,14.4,0.046,-241,95,0.94446,3.24,0.5,9.1,-1,7,1
"2840",3596,5,6.5,0.22,0.28,5.41873306511208,0.042,105,323,0.9958,3.12,0.36,6.8,1,7,2
"2841",3597,3,14.4,0.28,0.23,10.4,0.107,-240,190,0.99754,3.53,1.37,0.6,0,7,2
"2842",3598,2,9.3,1.39,0,10.7,0.034,46,340,1.00689,3.19,0.35,9.2,0,8,1
"2843",3599,5,7.1,0.53,1.45,19.1,-0.451,116,104,0.9953,3.08,1.12,10.5,0,8,2
"2844",3600,4,6.9,0.24,0.12,7.1,-0.224,-187,97,0.99246,3.95,0.527111782477341,11.4,0,7,1
"2845",3601,3,7.5,0.26,1.64,34.2,0.032,275,-45,0.93346,2.06,1.81,11.9,-1,8,2
"2846",3603,5,7.1,-0.08,0.3,-19.4,-0.445,-449,309,0.93977,2.1,0.31,12.3,0,8,1
"2847",3604,2,8.1,0.28,0.4,54,-0.398,455,97,1.02577,2.69,2.02,16.3,-2,9,0
"2848",3605,3,6.8,0.99,0.35,-105.7,0.038,30.8455712874547,120.714232642615,0.9912,3.09,0.53,12,-1,7,2
"2849",3606,0,1,0.3,0.28,-38.5,0.042,-235,-94,0.95523,3.2,0.65,11.4,0,8,1
"2850",3607,0,5.9,-0.63,0.28,-52.6,0.039,-6,506,0.9436,3.44,0.527111782477341,12.3,1,7,0
"2851",3608,2,5.9,-1.14,-1.23,-36,0.621,32,166,1.01868,3.03,0.44,9.2,0,8,0
"2852",3610,3,4.6,0.22,0.12,-31.3,-0.527,42,144,0.991,3.89,-0.1,12.2,-1,8,1
"2853",3611,1,25.5,-1.03,0.42,58.5,-0.377,29,142,0.97103,2.16,0.43,11.1,-1,8,0
"2854",3613,4,26.2,0.24,0.38,4.3,0.044,-109,172,0.996,2.08,1.85,10.8,0,9,3
"2855",3614,4,8.5,0.16,0.68,0.9,0.076,-37,57,1.00894,2.25,0.527111782477341,7.3,0,9,2
"2856",3615,5,7.5,0.06,0.24,7.1,-0.377,28,-224,0.99397,3.16,0.01,6.2,0,8,1
"2857",3616,0,10.5,0.69,0.07,2.5,0.0548224891009295,15,364,0.96047,3.20762822580645,0.6,11.3,-1,8,0
"2858",3617,0,7.6,2.58,0.3,63.9,0.053,-390.5,229,0.9986,3.92,0.527111782477341,9.1,-2,8,1
"2859",3618,0,-1,0.855,0.98,2.4,0.062,15,344,0.99548,3.54,-1.04,10.4892362598141,0,7,0
"2860",3619,2,8.9,0.53,1.2,0.9,0.0548224891009295,6,402,0.99234,3.24,0.35,21.6,0,7,1
"2861",3620,5,10.5,1.09,0.34,5.41873306511208,1.043,32,95,0.989435,2.96,0.527111782477341,12,1,7,3
"2862",3622,6,7.7,0.39,-1.34,4.9,-0.377,36,109,0.9918,3.52,0.18,12.2,1,8,3
"2863",3623,3,7.3,-1.15,0.37,14.3,0.0548224891009295,-51,-75,0.9978,1.11,0.38,9,-1,8,2
"2864",3624,0,18.3,0.52,-1.11,2.5,0.091,20,49,0.9976,3.01,1.21,10.7,1,9,0
"2865",3625,5,10.5,0.46,0.24,16.3,0.051,-114,171,0.95441,1.47,1.13,10.5,1,7,4
"2866",3626,4,-2.3,1.23,0.31,31.6,-0.288,155,503,0.95372,3.03,-0.7,18,0,8,3
"2867",3627,2,5.6,0.39,1.06,38,0.579,264,77,0.97257,3.28,1.63,12.7,-1,6,2
"2868",3628,0,6.2,0.39,-0.87,2,0.668,14,24,0.94929,2.56,0.93,13.9,-1,7,0
"2869",3629,3,-17.5,1.65,0.29,9.8,-0.232,110,134,0.99534,3.16,0.4,10.2,-1,7,2
"2870",3630,0,7.2,0.4,0.49,1.1,0.543,279,155,0.9929,3.01,0.42,9.3,-1,8,0
"2871",3631,0,11.5,0.33,1.13,8.7,0.099,30.8455712874547,521,0.99034,2.64,0.57,9.5,0,8,0
"2872",3632,0,8.2,0.78,-0.54,-53.4,0.181,-248,26,0.9978,3.20762822580645,0.46,9.6,-1,9,0
"2873",3633,0,7.8,1.2,0.09,40.9,0.115,10,42,0.9971,2.59,1.33,10.4892362598141,1,8,0
"2874",3634,3,7,0.26,-0.49,31.85,-0.077,30.8455712874547,171,0.9986,0.99,0.527111782477341,10.9,-1,8,3
"2875",3635,3,6.4,0.17,-1.29,56.4,0.057,21,-285,0.99425,3.91,0.527111782477341,10.7,-1,7,1
"2876",3636,4,15.9,0.29,0.35,-36.2,1.079,11,-332,0.9926,3.08,-0.49,10.6,1,9,2
"2877",3637,3,5.7,-1.14,0.18,5.1,0.371,193,-153,1.01421,2.67,1.15,9.2,0,7,1
"2878",3638,3,18,0.69,0,-19.5,0.084,13,120.714232642615,0.97536,3.13,1.82,12.8,0,9,2
"2879",3639,0,7.1,0.21,-0.48,5.41873306511208,-0.567,40,240,0.99215,3.17,1.25,10.8,1,8,0
"2880",3640,2,14.3,0.23,-2.71,0.9,0.478,329,141,1.01891,3.16,0.14,12.2,-1,6,1
"2881",3641,0,17.3,0.32,1.12,1.8,0.174,17,154,0.9969,3.04,1.08,9.2,0,9,0
"2882",3643,0,2.1,-0.63,0.47,-2,-0.048,14,36,1.00009,4.02,0.56,11.6,0,9,0
"2883",3644,4,12.5,-1.12,-1.08,-43.6,-0.093,20,120.714232642615,0.97248,2.73,1.51,11.5,0,7,2
"2884",3645,1,11.8,1.54,3.63,10.8,0.041,70,189,0.9976,3.08,-0.93,13.9,-1,8,1
"2885",3646,3,8.7,0.31,0.73,14.35,0.46,272,230,0.95984,1.94,0.88,13,0,10,2
"2886",3648,0,7,0.74,-0.97,5.1,-0.163,30.8455712874547,120.714232642615,0.9945,3.92,0.28,9.5,0,7,0
"2887",3650,4,9,1.43,1.37,37.1,1.135,15,-582,0.95075,3.26,0.69,7.7,1,8,1
"2888",3651,2,5.3,1.6,-1.48,2.7,-0.4,27,198,0.9932,4.16,3.73,15,-1,6,0
"2889",3652,0,16.8,-0.41,0.59,1.4,0.039,-140,-292,1.00493,3.32,0.62,14.3,0,7,0
"2890",3653,0,11.5,0.69,0.59,57.8,0.087,30.8455712874547,49,0.9988,3.18,0.65,11,2,13,0
"2891",3655,3,-14.9,-1.05,0.22,1.3,0.049,25,155,1.032,4.21,0.43,14.2,0,6,3
"2892",3656,3,6.5,0.18,-0.98,23.6,0.232,142,144,1.02796,3.49,1.49,11,-1,7,1
"2893",3657,5,5.8,0.28,-0.48,-47.3,0.498,40,-277,0.9896,3.2,1.04,12.8,0,6,3
"2894",3658,2,4.9,0.335,0.14,1.3,0.627,131,171,0.99212,3.23,0.46,10.766666667,-1,5,1
"2895",3659,4,5.1,-0.915,0.51,1.2,0.047,33,127,0.97915,4.32,1.88,11,-1,6,2
"2896",3661,3,6.4,-0.19,0.22,-127.1,0.048,19,-175,1.03545,2.64,1.89,10.1,0,7,1
"2897",3662,3,-1,0.7,-1.05,1.9,0.076,269,-175,0.9978,3.51,2.13,9.4,0,8,2
"2898",3663,3,6.8,0.23,0.3,6.95,0.044,-171,59,0.99339,3.6,0.56,10.6,-1,7,1
"2899",3664,3,7,0.44,0.24,12.1,-0.452,142,210,0.99718,2.64,0.5,7.4,0,8,1
"2900",3666,4,4.7,0.87,0.47,5.41873306511208,-0.494,18,120.714232642615,1.05596,4.02,1.57,11,0,8,1
"2901",3667,3,16.6,0.23,-0.9,-44.5,-0.529,22,330,0.96511,3.22,0.35,17.1,-1,8,0
"2902",3668,4,15.3,0.76,-0.9,1.6,-0.107,242,164,1.03642,3.17,-0.47,10.4892362598141,1,7,3
"2903",3670,4,2.5,0.31,0.34,5.41873306511208,0.585,204,110,0.99243,3.3,0.43,13.6,1,7,2
"2904",3671,6,7.6,-1.09,0.35,39.2,-0.185,43,-54,0.9934,3.36,0.69,11.6,2,8,2
"2905",3672,4,7.8,-1.01,1.8,-23.6,0.043,-530,120.714232642615,0.98096,3.21,0.527111782477341,6.8,1,9,2
"2906",3674,4,4.7,0.95,0.82,5.41873306511208,0.038,225,84,0.9924,3.34,0.17,10.9,0,6,2
"2907",3676,5,12.9,0.53,0.31,-55,0.034,133,109,0.9906,3.26,0.57,9.3,-1,8,4
"2908",3677,0,17.9,3,-0.59,10,0.662,-327,414,0.9992,3.05,1.52,3.1,1,13,1
"2909",3679,2,8,-1.11,1.75,-13.9,0.061,30.8455712874547,-120,1.03803,3.08,0.28,9.4,-1,9,1
"2910",3681,4,13.7,-1.15,1.59,46.6,0.04,-180,206,1.00871,2.15,0.58,6.4,0,7,1
"2911",3682,4,0.5,1.56,0.23,7.7,0.037,-242,527,0.99021,4.49,-0.44,6.4,0,6,0
"2912",3683,0,6.8,0.14,0.35,72.4,0.146,40,117,0.8957,1.82,0.72,11.1,0,7,0
"2913",3684,0,5.5,2.01,0.55,25.6,0.037,131,294,0.99184,3.26,0.38,10.7,0,6,1
"2914",3685,0,10.7,0.43,1.37,50.1,0.07,5,59,0.9972,3.21,-0.66,11,-1,12,0
"2915",3687,5,17.8,1.15,0.3,-59.6,0.13,-77,-36,0.96797,3.43,0.61,10.5,1,8,2
"2916",3688,4,7.8,0.22,-1.22,-29.3,0.642,38,132,1.04558,3.25,-1.2,10.2,0,8,3
"2917",3689,5,6.3,0.29,0.29,5.41873306511208,-0.352,284,418,1.02857,3.17,2.31,12.8,0,7,2
"2918",3690,5,7.3,0.84,-0.05,1.2,0.044,206,143,1.00427,3.2,0.33,11.3,0,8,2
"2919",3691,2,1.2,0.5,0.22,-31.6,0.118,55,-552,0.98228,3.19,0.52,8.2,-1,7,1
"2920",3692,2,16.9,-0.21,1.39,9.6,-0.368,30.8455712874547,65,1.03646,3.4,0.41,9,-1,8,2
"2921",3694,6,6.5,-0.32,-0.97,64.9,-0.241,48,256,0.98111,3.97,-0.35,10.4892362598141,1,7,4
"2922",3695,4,4.7,0.31,0.36,8.6,0.256,63,360,1.03039,2.5,0.5,5.8,1,7,3
"2923",3696,0,4.3,-0.59,0.53,8.3,0.037,-63,137,0.98933,2.08,0.93,10.9,0,7,0
"2924",3697,7,5.7,2.86,0.3,28.7,0.046,202,-225,0.9451,3.86,2.21,11.9,2,6,4
"2925",3698,0,5.9,2.15,-0.38,2.1,0.865,16,24,0.99376,3.56,0.19,11.5,-2,7,2
"2926",3699,5,7.6,0.15,1.43,5.41873306511208,0.079,253,-27,1.06412,2.6,3.5,8.9,2,8,3
"2927",3700,4,-0.1,0.96,0.01,8.1,-0.401,32,162,0.98698,2.07,0.38,10.4,-2,8,2
"2928",3701,7,6.6,-0.96,2.54,1.4,0.035,49,120.714232642615,1.0378,3.35,1.63,16.8,1,7,3
"2929",3702,0,8.8,-0.78,0.46,1.6,0.095,20,281,0.99488,2.75,0.56,11.3,0,10,0
"2930",3703,5,6.7,0.18,-0.47,89.5,0.352,-60,488,0.94703,3.37,2.1,15.6,1,7,2
"2931",3704,4,5,-0.38,0.23,11.8,0.417,-7,158,0.98907,3.41,-0.1,11.8,0,6,0
"2932",3705,4,7.2,0.23,0.39,1.5,0.053,219,106,0.99166,3.01,0.47,11.1,0,8,3
"2933",3706,4,6.7,0.48,0.69,2.9,0.392,28,-219,0.98317,2.83,0.05,19.8,0,8,3
"2934",3707,0,-0.5,0.41,0.43,2.2,0.11,11,42,0.99728,3.16,0.67,10.4892362598141,-1,11,1
"2935",3708,0,5.8,0.28,-0.21,5.8,0.031,40,7,0.9908,3.42,1.75,11,0,6,0
"2936",3709,3,8.6,0.18,0.28,-31.3,0.032,25,-299,0.98167,2.99,0.38,9.7,0,9,1
"2937",3711,0,11.8,1.36,0.83,27.5,0.338,30.8455712874547,147,0.97776,3.20762822580645,0.85,8.4,1,9,1
"2938",3712,6,6.3,0.89,1.43,1,0.04,39,118,0.98886,2.43,0.527111782477341,13.1,0,7,3
"2939",3714,5,-1,1.54,0.41,52.7,0.101,30.8455712874547,149,0.9937,4.11,0.59,10.4892362598141,0,7,3
"2940",3715,6,1.1,0.34,-1.06,2.2,0.235,-299,304,0.98919,3.23,0.46,9.6,0,6,3
"2941",3716,3,15.2,-2.6,0.29,29.7,0.051,36,174,1.04905,3.14,0.5,10.4892362598141,0,7,3
"2942",3717,5,6,-0.22,0.73,-8.3,0.569,57,128,0.98982,3.22,0.39,6.2,1,7,2
"2943",3719,5,13.8,1.6,0.09,-37.8,0.0548224891009295,-464,-85,0.99889,3.42,4.21,5.2,1,7,4
"2944",3720,4,0.5,0.39,0.32,-16,-0.039,37,266,1.02969,3.26,0.38,16,-2,6,1
"2945",3721,0,8.5,0.48,1.16,48.8,0.088,23,-30,1.04088,2.86,0.35,10.4892362598141,-1,8,1
"2946",3722,4,-2.8,0.2,-1.39,-58.3,0.037,279,203,0.99021,3.95,0.49,12,0,6,0
"2947",3723,4,4.7,-0.26,0.06,16.4,0.058,45,447,0.9978,3.15,1.99,9.7,0,7,1
"2948",3724,0,9.7,1.94,0.14,2,-0.336,15,-87,1.02953,3.28,0.6,11.5,0,7,2
"2949",3727,4,0.8,-0.91,0.65,14.4,-0.396,172,126,0.9994,1.67,0.82,10.4892362598141,-1,8,3
"2950",3728,0,6.6,0.5,-0.84,1.5,0.06,-122,369,0.95309,2.61,0.58,-1.8,1,7,0
"2951",3729,3,9.2,2.04,-1.24,5.41873306511208,0.0548224891009295,-121,115,0.94769,3.23,0.24,9.9,0,10,0
"2952",3730,3,8.4,0.82,0.27,12.15,0.033,-183,116,0.94904,2.63,-0.57,10.4892362598141,-1,9,1
"2953",3731,5,7.4,0.25,0.28,7.25,-0.204,281,492,0.96067,2.94,-0.73,6.2,0,8,2
"2954",3732,3,0.3,0.16,0.5,-27.1,0.57,-126,-225,0.99226,3.27,0.527111782477341,8.6,-1,7,3
"2955",3733,4,8.4,-0.24,-0.03,47.7,0.0548224891009295,51,1022,1.0004,3.87,2.82,2.9,0,9,1
"2956",3734,0,17.7,2.95,0.4,12.7,0.412,-222,-563,0.99583,4.21,0.12,9.3,0,7,1
"2957",3735,0,0.7,-0.06,-1.03,-24.5,0.024,47,190,0.9982,3.08,1.62,10,1,9,0
"2958",3736,4,7,0.22,2.19,14.5,0.055,27,535,1.00841,2.98,0.55,3.8,1,7,2
"2959",3737,3,10.5,0.3,0.83,27,0.045,-207,-87,0.99595,2.54,0.527111782477341,4.8,0,7,1
"2960",3738,5,12.1,-0.05,1.9,4.1,0.033,-398,138,0.97184,3.87,1.77,14.1,0,9,3
"2961",3739,0,5.6,1.495,-0.76,36.8,-0.39,16,-363,0.92568,4.21,2.01,4.7,1,6,0
