"","Type","Age","Gender","Color1","MaturitySize","FurLength","Vaccinated","Dewormed","Sterilized","Health","Quantity","Fee","PhotoAmt","MainBreed","has_name","pure_breed","High"
"3466","2",6,"2","1",2,2,"2","1","2",1,1,70,6,"Dom Medium Hair","1","1",1
"5976","2",4,"2","5",2,1,"3","3","2",1,1,50,1,"Dom Short Hair","1","1",0
"226","1",17,"2","7",1,1,"1","1","2",1,1,0,2,"Bull Terrier","1","1",0
"3302","2",1,"2","1",2,2,"1","1","2",1,1,0,2,"Dom Medium Hair","1","1",1
"5564","2",2,"2","4",3,1,"2","1","3",1,1,0,4,"Dom Short Hair","1","1",1
"11491","1",2,"2","2",3,1,"2","1","2",1,1,0,1,"Mixed Breed","0","0",1
"5596","2",42,"1","1",3,1,"1","1","1",1,1,0,4,"Dom Short Hair","1","1",1
"11771","1",2,"3","1",2,1,"2","1","2",1,2,0,2,"Mixed Breed","1","0",0
"2958","2",6,"2","5",2,2,"2","1","2",1,1,50,4,"Dom Medium Hair","1","1",0
"1146","1",48,"2","5",1,3,"1","1","3",1,1,299,2,"Maltese","1","1",0
"5447","2",12,"2","1",2,1,"2","2","2",1,1,0,12,"Dom Short Hair","1","1",1
"8940","2",2,"1","4",1,1,"1","1","2",1,3,0,1,"Tiger","0","1",1
"1852","1",60,"1","4",1,2,"1","1","2",1,1,0,8,"Shih Tzu","1","1",0
"16287","2",2,"1","1",2,2,"2","2","2",1,1,0,12,"Dom Medium Hair","1","1",NA
"16097","1",120,"1","3",1,2,"1","1","2",1,1,0,1,"English Cocker Spaniel","0","1",NA
"10750","1",3,"2","1",2,2,"1","1","2",1,2,200,5,"Mixed Breed","1","0",1
"6281","2",2,"2","2",2,1,"2","1","2",2,1,0,5,"Dom Short Hair","1","1",1
"9798","1",2,"2","1",2,2,"2","2","2",1,1,0,4,"Mixed Breed","1","0",0
"1948","1",15,"1","7",2,3,"3","3","3",1,1,0,2,"Spitz","1","1",1
"5807","2",12,"2","2",1,1,"2","2","2",1,3,0,5,"Dom Short Hair","1","1",0
"9899","1",2,"2","2",2,1,"1","1","2",1,1,0,4,"Mixed Breed","1","0",1
"13692","1",1,"2","1",2,1,"2","2","2",1,1,0,1,"Mixed Breed","1","0",0
"12050","1",2,"2","2",2,1,"2","2","2",1,1,0,2,"Mixed Breed","1","0",0
"16205","2",5,"1","1",2,1,"1","1","2",1,1,0,5,"Dom Short Hair","1","1",NA
"4371","2",5,"1","2",2,1,"2","2","2",1,1,0,1,"Dom Short Hair","1","1",1
"18586","2",12,"2","1",2,1,"1","1","1",1,4,0,0,"Dom Short Hair","1","1",NA
"16590","2",17,"2","1",2,1,"1","1","1",1,1,0,5,"Dom Short Hair","1","1",NA
"1246","1",48,"2","2",2,1,"2","2","2",1,1,0,4,"Pit Bull Terrier","1","1",0
"5883","2",4,"2","3",2,2,"3","1","2",1,1,0,1,"Dom Short Hair","1","1",0
"3707","2",4,"2","1",1,2,"3","3","2",1,1,50,3,"Dom Medium Hair","1","1",0
"14647","1",1,"2","1",2,1,"2","1","2",1,1,90,1,"Mixed Breed","1","0",0
"3013","2",13,"3","1",2,2,"2","2","2",1,4,0,11,"Dom Medium Hair","1","1",1
"9046","2",2,"3","1",1,1,"3","3","3",1,3,0,5,"Tuxedo","1","1",0
"7778","2",108,"2","1",2,1,"1","1","1",1,1,0,1,"Dom Short Hair","1","1",0
"16771","2",24,"3","1",1,1,"2","2","2",1,6,1,4,"Dom Short Hair","1","1",NA
"15273","2",8,"1","6",2,1,"1","1","1",1,1,350,1,"Russian Blue","1","1",NA
"18070","1",11,"2","2",1,1,"1","1","2",1,1,0,1,"Jack Russell Terrier","1","1",NA
"683","1",4,"2","2",2,3,"1","1","1",1,1,0,2,"Golden Retriever","1","1",0
"12748","1",9,"2","1",2,2,"1","1","2",1,2,0,2,"Mixed Breed","1","0",0
"4164","2",1,"2","1",2,2,"2","2","2",1,1,0,5,"Dom Medium Hair","0","1",1
"10159","1",1,"2","2",2,1,"2","1","2",1,6,15,29,"Mixed Breed","1","0",0
"5038","2",26,"3","1",1,1,"2","2","1",1,4,0,12,"Dom Short Hair","1","1",0
"1281","1",36,"2","2",1,3,"3","3","1",1,1,0,1,"Pomeranian","1","1",1
"4033","2",4,"3","1",1,2,"1","1","2",1,3,0,3,"Dom Medium Hair","1","1",0
"11354","1",1,"2","1",1,2,"2","1","1",1,1,0,1,"Mixed Breed","1","0",0
"6276","2",2,"2","1",2,1,"2","1","2",1,1,50,6,"Dom Short Hair","1","1",1
"5999","2",3,"2","1",2,1,"1","1","2",1,1,0,8,"Dom Short Hair","1","1",1
"3901","2",2,"1","1",3,2,"2","2","2",1,1,15,2,"Dom Medium Hair","1","1",1
"3123","2",3,"2","1",2,2,"2","2","3",1,1,0,4,"Dom Medium Hair","1","1",0
"3881","2",3,"2","1",1,2,"2","1","2",2,1,0,3,"Dom Medium Hair","1","1",1
"10317","1",3,"2","2",2,2,"2","2","2",1,1,0,4,"Mixed Breed","1","0",0
"18021","1",2,"2","2",2,1,"1","1","2",1,1,0,3,"Mixed Breed","1","0",NA
"10337","1",3,"3","1",3,1,"3","3","3",1,3,0,12,"Mixed Breed","0","0",0
"8924","2",12,"1","4",2,1,"2","2","1",1,1,200,1,"Tabby","1","1",0
"6676","2",10,"1","3",2,1,"1","1","2",1,1,0,5,"Dom Short Hair","1","1",1
"9232","1",24,"2","2",2,1,"3","3","3",1,1,0,6,"Mixed Breed","1","0",0
"10188","1",84,"2","5",2,2,"1","1","3",1,1,0,4,"Mixed Breed","1","0",0
"17368","1",1,"2","2",2,1,"2","1","2",1,1,0,2,"Mixed Breed","1","0",NA
"3960","2",4,"1","3",1,2,"2","1","2",1,1,0,6,"Dom Medium Hair","1","1",1
"1675","1",3,"2","5",2,1,"2","1","2",1,1,0,4,"Shepherd","1","1",0
"2806","2",24,"2","1",2,3,"1","1","2",1,1,0,2,"Dom Long Hair","1","1",1
"8466","2",12,"3","2",2,1,"3","1","2",1,6,0,3,"Siamese","1","1",1
"6980","2",1,"3","3",2,1,"2","2","2",1,5,0,3,"Dom Short Hair","1","1",1
"5497","2",3,"3","4",2,1,"2","2","3",1,2,0,1,"Dom Short Hair","1","1",1
"3847","2",1,"1","1",2,2,"2","2","2",1,1,0,8,"Dom Medium Hair","1","1",1
"18670","1",9,"1","2",2,1,"2","1","2",1,1,100,3,"Mixed Breed","1","0",NA
"9982","1",6,"1","2",1,1,"1","1","2",1,1,0,2,"Mixed Breed","1","0",0
"15865","2",12,"1","1",2,1,"2","1","1",1,1,0,7,"Dom Short Hair","1","1",NA
"8495","2",2,"3","2",1,2,"2","2","2",1,4,0,4,"Siamese","1","1",1
"9701","1",3,"1","2",2,1,"2","2","2",1,2,0,6,"Mixed Breed","1","0",1
"16804","1",3,"2","2",2,1,"1","1","2",1,1,0,5,"Mixed Breed","1","0",NA
"7368","2",36,"2","2",2,1,"1","1","1",1,1,0,5,"Dom Short Hair","1","1",1
"7731","2",4,"2","6",1,1,"2","1","1",1,1,0,5,"Dom Short Hair","1","1",0
"14860","1",5,"2","7",2,1,"1","1","2",1,1,0,6,"Mixed Breed","1","0",0
"934","1",2,"1","2",2,2,"2","2","2",1,1,0,2,"Labrador Retriever","0","1",0
"15394","1",24,"2","1",3,1,"1","1","1",1,1,500,4,"Rottweiler","1","1",NA
"17361","1",1,"3","1",3,1,"2","2","2",1,5,0,1,"Dalmatian","1","1",NA
"5274","2",5,"2","1",2,1,"1","1","1",1,1,100,4,"Dom Short Hair","1","1",0
"18470","1",90,"1","2",3,1,"1","1","1",1,1,100,2,"Rhodesian Ridgeback","1","1",NA
"7247","2",3,"2","1",1,1,"1","1","2",1,1,0,3,"Dom Short Hair","1","1",1
"15250","1",3,"2","1",2,1,"1","1","2",1,1,0,1,"Mixed Breed","1","0",NA
"2744","2",3,"1","2",2,3,"1","1","2",1,1,300,5,"Dom Long Hair","1","1",1
"6973","2",4,"1","3",2,2,"2","2","2",1,1,0,0,"Dom Short Hair","0","1",1
"10944","1",2,"3","1",2,1,"3","3","3",1,5,0,5,"Mixed Breed","1","0",0
"10857","1",36,"2","5",2,1,"2","1","1",1,1,0,5,"Mixed Breed","1","0",1
"137","1",84,"2","1",2,1,"1","1","1",1,1,0,4,"Beagle","1","1",0
"4741","2",1,"3","1",1,1,"2","2","2",1,2,0,5,"Dom Short Hair","0","1",0
"2137","1",24,"2","5",2,2,"1","1","1",1,1,0,5,"Terrier","1","1",0
"3856","2",12,"2","3",1,2,"1","1","1",1,1,0,2,"Dom Medium Hair","1","1",1
"249","1",36,"1","3",3,1,"1","1","1",1,1,0,2,"Bullmastiff","1","1",0
"7391","2",2,"2","1",1,1,"2","2","2",1,1,0,3,"Dom Short Hair","1","1",1
"5810","2",2,"2","3",1,1,"2","2","2",1,1,50,0,"Dom Short Hair","1","1",0
"2635","2",1,"2","1",1,2,"2","1","2",1,1,20,2,"Calico","1","1",1
"8766","2",12,"1","2",2,2,"1","1","2",1,1,0,4,"Tabby","1","1",0
"17377","2",2,"1","3",2,2,"3","3","3",1,1,0,4,"Siamese","1","1",NA
"1844","1",17,"1","2",1,3,"2","2","2",1,1,0,4,"Shih Tzu","1","1",1
"839","1",36,"3","1",3,2,"1","1","2",1,2,0,1,"Husky","1","1",1
"15888","2",2,"2","1",1,1,"3","1","3",1,1,0,6,"Dom Short Hair","1","1",NA
"10595","1",2,"1","1",2,1,"1","1","2",1,1,0,1,"Mixed Breed","1","0",1
"136","1",78,"1","2",2,2,"2","1","2",1,1,0,0,"Beagle","1","1",0
"19","1",4,"1","1",2,3,"1","1","1",1,1,0,3,"Australian Kelpie","1","1",0
"3928","2",12,"2","2",2,2,"1","1","2",1,1,0,5,"Dom Medium Hair","1","1",0
"4729","2",2,"3","2",1,1,"2","2","2",1,3,0,4,"Dom Short Hair","1","1",0
"18041","1",2,"2","2",1,2,"1","1","3",1,1,450,1,"Shih Tzu","1","1",NA
"11738","1",1,"2","1",2,2,"2","1","2",1,1,50,10,"Mixed Breed","1","0",1
"15487","2",12,"1","6",2,1,"3","3","1",1,1,0,1,"Dom Short Hair","1","1",NA
"13865","1",4,"2","1",2,1,"2","1","2",2,1,0,6,"Mixed Breed","1","0",0
"6263","2",2,"1","1",2,1,"2","1","2",1,1,0,8,"Dom Short Hair","1","1",0
"7398","2",8,"2","3",2,1,"1","1","1",1,1,0,8,"Dom Short Hair","1","1",1
"13941","1",18,"2","1",3,2,"3","3","3",2,1,0,4,"Mixed Breed","1","0",0
"10772","1",3,"2","2",2,2,"1","1","2",1,2,50,5,"Mixed Breed","1","0",0
"14997","2",5,"2","1",2,1,"1","1","1",1,1,100,1,"Dom Short Hair","1","1",NA
"784","1",72,"1","4",2,2,"3","3","3",1,1,0,3,"Golden Retriever","1","1",1
"1504","1",18,"2","1",4,2,"1","1","1",1,1,0,4,"Rottweiler","1","1",1
"11726","1",2,"1","2",2,2,"1","1","2",1,1,0,4,"Mixed Breed","1","0",1
"14670","1",2,"1","2",2,1,"1","1","2",1,5,50,1,"Mixed Breed","1","0",0
"14718","1",3,"2","1",2,2,"1","1","2",1,1,0,2,"Mixed Breed","1","0",1
"12936","1",1,"2","1",1,2,"2","2","2",1,1,0,4,"Mixed Breed","1","0",1
"2040","1",6,"1","2",2,2,"1","1","1",1,1,0,7,"Terrier","1","1",0
"1676","1",2,"1","2",3,1,"2","2","2",1,1,0,11,"Shepherd","1","1",1
"3607","2",1,"2","1",2,2,"2","2","2",1,2,0,7,"Dom Medium Hair","1","1",0
"17235","1",2,"3","2",1,3,"2","1","2",1,3,0,0,"Shih Tzu","1","1",NA
"7135","2",3,"2","1",2,1,"2","1","2",1,1,0,4,"Dom Short Hair","1","1",0
"18751","1",2,"3","2",2,2,"2","2","1",1,5,0,5,"Mixed Breed","0","0",NA
"15543","2",2,"1","6",1,1,"1","1","2",1,1,0,4,"Dom Short Hair","1","1",NA
"3189","2",4,"2","1",2,2,"1","1","2",1,1,0,7,"Dom Medium Hair","1","1",0
"14268","1",24,"2","4",3,2,"3","3","3",2,1,0,1,"Mixed Breed","1","0",0
"17644","1",24,"1","2",1,2,"1","1","2",1,1,100,4,"Poodle","1","1",NA
"9546","1",3,"1","1",2,1,"2","1","2",1,1,0,5,"Mixed Breed","1","0",0
"16335","2",3,"1","3",2,3,"3","3","3",2,1,0,3,"Maine Coon","1","1",NA
"2412","2",2,"1","3",1,2,"2","1","2",1,1,0,4,"Bengal","1","1",1
"13712","1",4,"2","2",1,1,"2","2","2",1,1,0,5,"Mixed Breed","1","0",0
"5923","2",30,"2","5",2,2,"1","1","1",1,1,1,1,"Dom Short Hair","1","1",1
"16402","1",3,"2","1",2,1,"1","1","2",1,1,0,15,"Mixed Breed","1","0",NA
"4735","2",4,"1","4",1,1,"2","1","1",1,1,0,5,"Dom Short Hair","1","1",1
"1969","1",72,"1","7",2,2,"2","2","2",1,1,0,2,"Spitz","1","1",0
"9264","1",2,"2","1",2,1,"2","2","2",1,1,0,4,"Mixed Breed","0","0",1
"4289","2",3,"2","5",2,1,"1","1","1",1,1,100,1,"Dom Short Hair","1","1",0
"11108","1",1,"1","1",2,1,"3","3","2",1,1,0,2,"Mixed Breed","1","0",0
"7191","2",1,"1","1",1,1,"2","2","2",1,1,0,5,"Dom Short Hair","1","1",0
"1097","1",24,"2","2",2,2,"1","1","1",1,2,0,1,"Labrador Retriever","1","1",1
"18540","2",2,"2","2",2,1,"2","2","2",1,1,0,2,"Dom Short Hair","1","1",NA
"8839","2",0,"1","2",2,2,"2","2","2",1,1,0,4,"Tabby","1","1",1
"16543","2",2,"1","1",2,2,"2","2","2",1,1,0,4,"Persian","1","1",NA
"16761","2",72,"2","1",2,3,"3","1","3",1,1,0,1,"Dom Short Hair","1","1",NA
"12767","1",12,"2","1",1,2,"2","2","2",1,1,0,2,"Mixed Breed","0","0",0
"6017","2",5,"2","1",2,1,"2","2","2",1,1,0,6,"Dom Short Hair","1","1",1
"16563","1",9,"2","1",1,1,"1","1","1",1,1,0,3,"Mixed Breed","0","0",NA
"975","1",4,"1","3",2,1,"1","1","2",1,1,0,7,"Labrador Retriever","1","1",1
"16391","1",3,"2","1",2,1,"2","1","2",1,1,0,5,"Rottweiler","1","1",NA
"375","1",60,"2","2",2,1,"1","1","3",1,1,0,1,"Dachshund","1","1",0
"10602","1",1,"2","2",2,2,"2","2","2",1,2,0,9,"Mixed Breed","1","0",0
"9632","1",24,"1","1",2,1,"2","2","2",1,1,0,2,"Mixed Breed","1","0",0
"14368","1",2,"1","2",2,2,"2","3","2",1,1,0,1,"Mixed Breed","0","0",1
"13017","1",1,"2","5",2,2,"3","3","2",1,1,0,5,"Mixed Breed","1","0",1
"17147","1",1,"2","4",2,2,"2","2","2",1,1,0,1,"Mixed Breed","0","0",NA
"11634","1",2,"2","1",2,1,"3","3","2",1,1,0,1,"Mixed Breed","1","0",1
"5723","2",2,"3","6",2,1,"1","1","2",1,3,0,3,"Dom Short Hair","1","1",1
"12980","1",36,"2","2",2,1,"1","1","1",1,1,0,3,"Mixed Breed","1","0",0
"11538","1",5,"2","1",2,3,"1","1","1",1,1,0,5,"Mixed Breed","1","0",1
"18796","1",1,"3","1",1,1,"2","2","2",1,8,0,3,"Mixed Breed","1","0",NA
"9074","1",8,"2","2",2,1,"2","1","1",1,1,10,2,"Mixed Breed","1","0",0
"10079","1",1,"2","2",1,1,"2","1","2",1,1,0,2,"Mixed Breed","1","0",0
"16578","1",5,"2","2",1,1,"3","3","3",1,1,0,1,"Pointer","1","1",NA
"13483","1",2,"1","2",2,1,"2","1","2",1,4,0,11,"Mixed Breed","1","0",1
"4515","2",5,"2","1",2,1,"1","3","2",1,3,0,2,"Dom Short Hair","1","1",1
"13681","1",4,"2","1",2,1,"1","1","2",1,1,0,3,"Mixed Breed","1","0",0
"16406","2",1,"3","1",1,1,"2","2","2",1,3,0,8,"Dom Short Hair","1","1",NA
"11709","1",2,"2","5",2,1,"2","1","2",1,1,0,2,"Mixed Breed","1","0",1
"4352","2",1,"1","2",2,1,"2","2","2",1,1,15,5,"Dom Short Hair","1","1",1
"14421","1",1,"3","2",2,2,"2","2","2",1,5,0,8,"Mixed Breed","0","0",1
"11268","1",24,"1","2",2,1,"3","3","3",1,1,0,2,"Mixed Breed","1","0",0
"12939","1",46,"1","1",2,2,"1","1","1",1,2,0,6,"Mixed Breed","1","0",0
"2499","2",24,"2","6",2,2,"1","1","1",1,1,0,1,"British Shorthair","1","1",0
"4586","2",60,"1","3",3,2,"1","1","1",1,1,0,1,"Dom Short Hair","1","1",0
"11418","1",8,"1","1",2,2,"1","1","1",1,2,0,1,"Mixed Breed","1","0",0
"13430","1",1,"1","2",2,1,"2","2","2",1,1,50,2,"Mixed Breed","1","0",0
"17793","1",19,"2","1",3,3,"1","1","2",1,1,0,1,"Siberian Husky","1","1",NA
"12405","1",8,"2","2",2,1,"1","1","1",1,1,0,2,"Mixed Breed","1","0",0
"2023","1",2,"2","1",2,1,"2","1","2",1,2,0,5,"Terrier","1","1",0
"7435","2",2,"1","2",2,1,"2","1","2",1,1,0,3,"Dom Short Hair","1","1",1
"16799","2",2,"2","1",1,1,"2","1","2",1,1,0,4,"Dom Short Hair","1","1",NA
"12146","1",2,"2","1",2,2,"1","1","2",1,1,50,2,"Mixed Breed","1","0",0
"10731","1",3,"2","2",2,2,"2","2","2",1,5,0,1,"Mixed Breed","1","0",0
"1044","1",32,"2","3",3,1,"2","2","2",1,1,200,2,"Labrador Retriever","1","1",1
"17055","1",36,"1","3",3,2,"1","1","2",1,1,0,1,"Mixed Breed","1","0",NA
"11897","1",1,"2","1",2,1,"3","1","2",1,1,0,3,"Mixed Breed","0","0",0
"2555","2",1,"3","1",1,1,"2","2","2",1,4,0,4,"Calico","1","1",1
"18382","1",48,"1","1",2,2,"1","1","2",1,1,0,2,"Cocker Spaniel","1","1",NA
"18472","1",6,"1","2",2,1,"1","1","1",2,1,100,1,"Mixed Breed","1","0",NA
"11120","1",5,"2","2",2,1,"1","1","1",1,1,0,2,"Mixed Breed","1","0",0
"7983","2",2,"1","1",2,1,"2","2","2",1,1,0,0,"Orient Short Hair","0","1",0
"1581","1",3,"2","1",4,2,"1","2","2",2,1,0,4,"Saint Bernard","1","1",1
"4246","2",13,"2","2",2,1,"2","1","2",1,1,0,5,"Dom Short Hair","1","1",0
"14197","1",1,"3","1",2,2,"2","1","3",1,2,0,1,"Mixed Breed","1","0",1
"15640","2",1,"2","1",2,3,"2","1","2",1,1,0,3,"Tabby","1","1",NA
"73","1",4,"1","1",2,1,"1","1","2",1,1,600,1,"Beagle","1","1",0
"9044","2",4,"1","1",3,1,"2","1","2",1,1,0,9,"Tuxedo","1","1",1
"4245","2",2,"1","3",2,1,"1","1","2",1,1,0,5,"Dom Short Hair","1","1",1
"12233","1",6,"2","2",2,3,"1","1","1",1,1,0,4,"Mixed Breed","1","0",0
"7434","2",3,"3","1",2,1,"1","1","2",1,3,0,16,"Dom Short Hair","1","1",1
"10858","1",1,"2","1",2,1,"2","1","2",1,2,0,26,"Mixed Breed","1","0",1
"16872","1",5,"2","7",2,1,"1","1","1",1,1,0,4,"Mixed Breed","1","0",NA
"10872","1",42,"2","1",1,1,"1","1","1",1,1,0,2,"Mixed Breed","1","0",0
"18416","1",48,"1","1",2,2,"1","1","3",1,1,0,1,"Mixed Breed","1","0",NA
"13190","1",12,"2","5",1,2,"1","1","2",1,1,0,3,"Mixed Breed","1","0",1
"9327","1",2,"2","1",2,1,"1","1","2",1,1,0,2,"Mixed Breed","1","0",0
"3949","2",2,"3","3",1,2,"2","2","2",1,3,0,5,"Dom Medium Hair","1","1",1
"17718","2",2,"1","1",2,2,"2","2","2",1,1,0,3,"Dom Short Hair","1","1",NA
"11143","1",49,"1","2",2,1,"1","1","1",1,2,0,3,"Mixed Breed","1","0",0
"4570","2",3,"3","1",2,2,"2","2","2",1,4,0,2,"Dom Short Hair","1","1",0
"11647","1",1,"2","5",2,2,"2","1","2",1,1,0,3,"Mixed Breed","1","0",0
"13580","1",2,"2","7",2,1,"2","2","2",1,1,20,1,"Mixed Breed","1","0",1
"1757","1",36,"2","7",1,3,"1","1","2",1,1,0,1,"Shih Tzu","1","1",1
"1645","1",60,"2","6",2,2,"1","1","1",1,1,0,1,"Schnauzer","1","1",1
"17788","2",24,"2","5",2,3,"3","1","2",1,1,200,1,"Dom Long Hair","1","1",NA
"8591","2",6,"3","3",3,2,"3","3","3",1,2,0,11,"Tabby","1","1",1
"10574","1",2,"1","1",2,1,"3","3","2",1,1,0,1,"Mixed Breed","1","0",1
"17017","2",2,"3","1",2,1,"2","2","2",1,4,0,5,"Dom Short Hair","1","1",NA
"7164","2",2,"1","1",2,2,"2","1","2",1,1,0,5,"Dom Short Hair","1","1",1
"1413","1",12,"2","2",1,2,"3","3","3",2,1,0,1,"Poodle","1","1",1
"6521","2",24,"2","1",2,1,"2","1","1",1,1,0,5,"Dom Short Hair","1","1",0
"16181","2",12,"2","2",2,1,"1","1","1",1,1,0,3,"Dom Short Hair","1","1",NA
"12712","1",1,"2","2",2,1,"2","1","2",1,3,0,6,"Mixed Breed","1","0",1
"12320","1",2,"1","2",2,1,"2","2","2",1,1,0,2,"Mixed Breed","1","0",0
"3910","2",2,"2","1",2,2,"2","1","2",1,1,0,3,"Dom Medium Hair","1","1",1
"1754","1",36,"2","2",1,2,"1","1","1",1,1,0,1,"Shih Tzu","1","1",1
"2724","2",48,"1","7",3,3,"1","1","1",1,1,300,3,"Dom Long Hair","1","1",1
"6665","2",2,"2","1",2,1,"1","1","2",1,1,0,1,"Dom Short Hair","1","1",1
"4012","2",2,"1","6",2,2,"2","1","1",1,1,30,2,"Dom Medium Hair","1","1",1
"9025","2",7,"1","1",2,1,"2","1","2",1,1,0,1,"Tuxedo","1","1",1
"7978","2",17,"2","2",2,1,"1","1","2",1,1,0,1,"Orient Short Hair","1","1",0
"11575","1",3,"1","1",2,2,"3","3","2",1,1,0,6,"Mixed Breed","1","0",1
"11328","1",3,"3","1",3,2,"2","1","2",1,2,0,6,"Mixed Breed","1","0",0
"17133","1",60,"1","1",1,2,"1","1","1",1,1,0,2,"Shih Tzu","1","1",NA
"11611","1",2,"3","2",1,1,"2","2","2",1,3,0,1,"Mixed Breed","1","0",0
"884","1",26,"2","2",2,1,"1","1","1",1,1,0,5,"Jack Russell Terrier","1","1",0
"18231","2",24,"1","5",2,1,"1","1","1",1,1,0,6,"Dom Short Hair","1","1",NA
"14937","1",2,"2","5",2,2,"1","1","2",1,1,0,5,"Mixed Breed","1","0",1
"181","1",2,"1","1",2,1,"1","1","2",1,1,100,6,"Black Mouth Cur","1","1",1
"18036","1",36,"2","2",2,1,"3","3","3",1,1,0,1,"Mixed Breed","1","0",NA
"13654","1",2,"1","1",1,1,"1","1","3",1,1,0,2,"Mixed Breed","1","0",1
"3486","2",5,"2","1",2,1,"3","3","2",1,1,0,1,"Dom Medium Hair","1","1",0
"16723","1",10,"1","2",2,1,"1","1","1",1,1,0,9,"Mixed Breed","1","0",NA
"17745","1",1,"1","2",1,1,"2","1","2",1,1,0,7,"Mixed Breed","1","0",NA
"10020","1",5,"2","1",2,3,"1","1","2",1,2,1,2,"Mixed Breed","1","0",0
"6958","2",4,"1","2",1,1,"1","1","2",1,1,0,5,"Dom Short Hair","1","1",1
"16207","1",2,"2","2",2,1,"1","1","2",1,1,0,4,"Mixed Breed","1","0",NA
"5480","2",2,"1","3",2,1,"1","1","2",2,1,0,5,"Dom Short Hair","1","1",1
"3575","2",4,"2","1",2,2,"2","1","2",1,1,0,10,"Dom Medium Hair","1","1",0
"3506","2",30,"2","5",2,2,"1","1","1",1,1,1,1,"Dom Medium Hair","1","1",1
"1638","1",36,"3","6",2,1,"3","3","2",1,2,0,1,"Schnauzer","1","1",0
"7015","2",1,"3","1",2,1,"2","2","2",1,6,0,10,"Dom Short Hair","1","1",1
"5907","2",1,"3","3",2,1,"2","2","2",1,4,0,7,"Dom Short Hair","1","1",1
"16722","1",3,"2","7",2,1,"1","1","2",1,1,0,3,"Mixed Breed","1","0",NA
"15647","2",12,"2","6",2,2,"2","2","1",1,1,0,1,"Dom Short Hair","1","1",NA
"4838","2",3,"1","1",2,2,"2","2","2",1,1,0,3,"Dom Short Hair","1","1",1
"568","1",4,"2","1",2,1,"3","3","3",1,1,0,3,"German Shepherd Dog","1","1",0
"17660","2",2,"2","2",1,2,"2","2","2",1,2,300,3,"Dom Medium Hair","1","1",NA
"9990","1",0,"2","1",2,1,"2","2","2",1,1,0,1,"Mixed Breed","1","0",1
"10760","1",1,"1","1",2,2,"2","2","3",1,1,0,1,"Mixed Breed","0","0",0
"538","1",48,"2","1",3,3,"1","1","1",1,1,0,3,"German Shepherd Dog","1","1",0
"4823","2",3,"1","1",2,1,"2","2","2",1,1,0,3,"Dom Short Hair","1","1",0
"2871","2",1,"2","5",2,2,"2","1","2",1,1,100,5,"Dom Long Hair","1","1",1
"7500","2",2,"1","7",2,1,"2","1","2",1,1,0,6,"Dom Short Hair","1","1",1
"8324","2",6,"2","2",2,1,"2","1","2",1,1,100,3,"Siamese","1","1",1
"1596","1",36,"2","1",1,1,"1","1","1",1,1,0,2,"Schnauzer","1","1",0
"16270","1",3,"2","1",2,1,"2","2","2",1,1,50,0,"Doberman Pinscher","1","1",NA
"2058","1",12,"1","2",2,1,"1","1","1",1,1,0,4,"Terrier","1","1",0
"11127","1",2,"1","1",2,1,"1","1","1",1,2,0,4,"Mixed Breed","1","0",0
"537","1",12,"2","1",1,2,"1","1","1",1,1,0,5,"German Shepherd Dog","1","1",0
"8866","2",3,"2","1",2,1,"1","1","2",1,1,0,2,"Tabby","1","1",1
"10035","1",24,"1","2",2,3,"3","3","3",3,1,0,3,"Mixed Breed","1","0",1
"10683","1",2,"1","1",2,1,"3","3","2",1,1,0,2,"Mixed Breed","1","0",0
"10455","1",2,"2","1",2,1,"2","1","2",1,5,0,1,"Mixed Breed","1","0",0
"10886","1",3,"1","1",2,1,"2","1","2",1,1,50,2,"Mixed Breed","1","0",0
"3568","2",48,"1","2",2,2,"1","1","1",1,1,0,6,"Dom Medium Hair","1","1",0
"460","1",60,"2","2",3,1,"3","3","1",2,1,0,2,"Doberman Pinscher","1","1",1
"17408","2",2,"1","2",2,1,"2","2","2",1,1,0,0,"Dom Short Hair","1","1",NA
"10348","1",1,"3","2",2,2,"2","2","2",1,4,0,4,"Mixed Breed","0","0",0
"12573","1",4,"2","2",1,1,"1","1","3",1,1,0,4,"Mixed Breed","1","0",0
"633","1",36,"2","1",1,3,"3","3","1",1,1,0,6,"Glen of Imaal Terrier","1","1",1
"14431","1",3,"2","2",2,1,"2","1","2",1,1,0,4,"Mixed Breed","1","0",0
"6730","2",1,"2","1",1,1,"2","1","2",2,1,0,1,"Dom Short Hair","0","1",0
"18820","2",4,"3","1",2,1,"1","1","2",1,3,40,1,"Dom Short Hair","1","1",NA
"6733","2",3,"2","1",1,1,"2","2","2",1,1,0,5,"Dom Short Hair","1","1",1
"15242","1",4,"2","2",2,1,"1","1","2",1,1,0,4,"Mixed Breed","1","0",NA
"6732","2",5,"1","1",2,1,"2","1","2",1,1,0,7,"Dom Short Hair","1","1",1
"15338","1",2,"2","1",3,2,"2","2","2",1,1,0,4,"Mixed Breed","1","0",NA
"16283","2",2,"3","1",1,1,"2","2","2",1,2,0,5,"Dom Short Hair","1","1",NA
"9428","1",5,"1","4",3,1,"1","1","1",1,1,50,2,"Mixed Breed","1","0",0
"8869","2",5,"2","6",1,1,"1","1","1",1,1,0,8,"Tabby","1","1",1
"157","1",2,"2","1",2,2,"3","3","2",1,1,0,4,"Belgian Shepherd Malinois","1","1",1
